,time,apparentTemperature,dewPoint,energy,humidity,pressure,temperature,visibility,windBearing,windSpeed,precipType,icon,summary,type
0,2012-08-01 00:00:00,15.28,13.82,0.128586,0.91,1013.59,15.28,9.12,190,2.45,rain,partly-cloudy-night,Partly Cloudy,Weekday
1,2012-08-01 00:30:00,15.28,13.82,0.119304348,0.91,1013.59,15.28,9.12,190,2.45,rain,partly-cloudy-night,Partly Cloudy,Weekday
2,2012-08-01 01:00:00,14.76,13.44,0.115347826,0.92,1013.35,14.76,9.03,178,2.73,rain,partly-cloudy-night,Partly Cloudy,Weekday
3,2012-08-01 01:30:00,14.76,13.44,0.117956522,0.92,1013.35,14.76,9.03,178,2.73,rain,partly-cloudy-night,Partly Cloudy,Weekday
4,2012-08-01 02:00:00,14.32,13.38,0.13723913,0.94,1013.03,14.32,8.43,174,2.45,rain,partly-cloudy-night,Mostly Cloudy,Weekday
5,2012-08-01 02:30:00,14.32,13.38,0.107217391,0.94,1013.03,14.32,8.43,174,2.45,rain,partly-cloudy-night,Mostly Cloudy,Weekday
6,2012-08-01 03:00:00,14.07,12.96,0.091086957,0.93,1012.52,14.07,7.63,155,1.69,rain,partly-cloudy-night,Mostly Cloudy,Weekday
7,2012-08-01 03:30:00,14.07,12.96,0.088326087,0.93,1012.52,14.07,7.63,155,1.69,rain,partly-cloudy-night,Mostly Cloudy,Weekday
8,2012-08-01 04:00:00,13.69,12.91,0.086891304,0.95,1012.03,13.69,5.38,128,1.93,rain,partly-cloudy-night,Partly Cloudy,Weekday
9,2012-08-01 04:30:00,13.69,12.91,0.096630435,0.95,1012.03,13.69,5.38,128,1.93,rain,partly-cloudy-night,Partly Cloudy,Weekday
10,2012-08-01 05:00:00,14.26,13.13,0.105217391,0.93,1011.15,14.26,6.65,113,1.97,rain,partly-cloudy-day,Partly Cloudy,Weekday
11,2012-08-01 05:30:00,14.26,13.13,0.127478261,0.93,1011.15,14.26,6.65,113,1.97,rain,partly-cloudy-day,Partly Cloudy,Weekday
12,2012-08-01 06:00:00,15.47,14.07,0.15656521699999998,0.91,1010.7,15.47,9.5,138,3.16,rain,partly-cloudy-day,Partly Cloudy,Weekday
13,2012-08-01 06:30:00,15.47,14.07,0.158152174,0.91,1010.7,15.47,9.5,138,3.16,rain,partly-cloudy-day,Partly Cloudy,Weekday
14,2012-08-01 07:00:00,16.95,14.69,0.135869565,0.87,1010.34,16.94,10.96,146,2.92,rain,partly-cloudy-day,Partly Cloudy,Weekday
15,2012-08-01 07:30:00,16.95,14.69,0.135956522,0.87,1010.34,16.94,10.96,146,2.92,rain,partly-cloudy-day,Partly Cloudy,Weekday
16,2012-08-01 08:00:00,18.56,15.25,0.151282609,0.81,1009.69,18.53,12.5,150,3.51,rain,partly-cloudy-day,Partly Cloudy,Weekday
17,2012-08-01 08:30:00,18.56,15.25,0.153391304,0.81,1009.69,18.53,12.5,150,3.51,rain,partly-cloudy-day,Partly Cloudy,Weekday
18,2012-08-01 09:00:00,19.69,14.93,0.197173913,0.74,1009.24,19.69,12.34,164,3.39,rain,partly-cloudy-day,Partly Cloudy,Weekday
19,2012-08-01 09:30:00,19.69,14.93,0.16971739100000002,0.74,1009.24,19.69,12.34,164,3.39,rain,partly-cloudy-day,Partly Cloudy,Weekday
20,2012-08-01 10:00:00,20.17,14.94,0.172804348,0.72,1009.05,20.17,13.29,169,3.88,rain,partly-cloudy-day,Partly Cloudy,Weekday
21,2012-08-01 10:30:00,20.17,14.94,0.187782609,0.72,1009.05,20.17,13.29,169,3.88,rain,partly-cloudy-day,Partly Cloudy,Weekday
22,2012-08-01 11:00:00,19.7,14.95,0.19426087,0.74,1008.76,19.7,13.39,165,3.5,rain,partly-cloudy-day,Partly Cloudy,Weekday
23,2012-08-01 11:30:00,19.7,14.95,0.20030434800000002,0.74,1008.76,19.7,13.39,165,3.5,rain,partly-cloudy-day,Partly Cloudy,Weekday
24,2012-08-01 12:00:00,19.36,14.96,0.16504347800000002,0.76,1008.67,19.36,13.37,166,3.81,rain,partly-cloudy-day,Partly Cloudy,Weekday
25,2012-08-01 12:30:00,19.36,14.96,0.159652174,0.76,1008.67,19.36,13.37,166,3.81,rain,partly-cloudy-day,Partly Cloudy,Weekday
26,2012-08-01 13:00:00,20.19,14.93,0.161391304,0.72,1008.1,20.19,12.34,167,3.46,rain,partly-cloudy-day,Partly Cloudy,Weekday
27,2012-08-01 13:30:00,20.19,14.93,0.183521739,0.72,1008.1,20.19,12.34,167,3.46,rain,partly-cloudy-day,Partly Cloudy,Weekday
28,2012-08-01 14:00:00,21.67,14.85,0.17584782399999999,0.65,1007.54,21.67,12.46,165,4.13,rain,partly-cloudy-day,Partly Cloudy,Weekday
29,2012-08-01 14:30:00,21.67,14.85,0.158478261,0.65,1007.54,21.67,12.46,165,4.13,rain,partly-cloudy-day,Partly Cloudy,Weekday
30,2012-08-01 15:00:00,22.57,14.01,0.165195652,0.58,1006.96,22.57,12.86,172,5.15,rain,partly-cloudy-day,Partly Cloudy,Weekday
31,2012-08-01 15:30:00,22.57,14.01,0.18960869600000002,0.58,1006.96,22.57,12.86,172,5.15,rain,partly-cloudy-day,Partly Cloudy,Weekday
32,2012-08-01 16:00:00,22.52,13.72,0.19752173899999997,0.58,1006.89,22.52,13.2,188,5.55,rain,partly-cloudy-day,Partly Cloudy,Weekday
33,2012-08-01 16:30:00,22.52,13.72,0.229695652,0.58,1006.89,22.52,13.2,188,5.55,rain,partly-cloudy-day,Partly Cloudy,Weekday
34,2012-08-01 17:00:00,21.66,10.79,0.201282607,0.5,1006.83,21.66,13.07,198,5.28,rain,partly-cloudy-day,Partly Cloudy,Weekday
35,2012-08-01 17:30:00,21.66,10.79,0.19221739100000002,0.5,1006.83,21.66,13.07,198,5.28,rain,partly-cloudy-day,Partly Cloudy,Weekday
36,2012-08-01 18:00:00,20.08,12.83,0.180065217,0.63,1007.04,20.08,13.47,210,5.61,rain,partly-cloudy-day,Partly Cloudy,Weekday
37,2012-08-01 18:30:00,20.08,12.83,0.19510869600000003,0.63,1007.04,20.08,13.47,210,5.61,rain,partly-cloudy-day,Partly Cloudy,Weekday
38,2012-08-01 19:00:00,18.96,13.95,0.18804347800000001,0.73,1007.23,18.96,13.07,207,4.51,rain,partly-cloudy-day,Partly Cloudy,Weekday
39,2012-08-01 19:30:00,18.96,13.95,0.24028260899999998,0.73,1007.23,18.96,13.07,207,4.51,rain,partly-cloudy-day,Partly Cloudy,Weekday
40,2012-08-01 20:00:00,17.94,14.04,0.229152174,0.78,1007.56,17.94,12.96,204,4.26,rain,partly-cloudy-night,Partly Cloudy,Weekday
41,2012-08-01 20:30:00,17.94,14.04,0.211217391,0.78,1007.56,17.94,12.96,204,4.26,rain,partly-cloudy-night,Partly Cloudy,Weekday
42,2012-08-01 21:00:00,17.37,14.18,0.209652174,0.82,1007.92,17.37,13.53,211,3.95,rain,clear-night,Clear,Weekday
43,2012-08-01 21:30:00,17.37,14.18,0.20723913,0.82,1007.92,17.37,13.53,211,3.95,rain,clear-night,Clear,Weekday
44,2012-08-01 22:00:00,16.81,14.11,0.20819565199999998,0.84,1007.95,16.81,12.63,216,3.75,rain,partly-cloudy-night,Partly Cloudy,Weekday
45,2012-08-01 22:30:00,16.81,14.11,0.25532609100000003,0.84,1007.95,16.81,12.63,216,3.75,rain,partly-cloudy-night,Partly Cloudy,Weekday
46,2012-08-01 23:00:00,16.82,14.54,0.149130435,0.86,1008.16,16.82,12.78,222,3.67,rain,partly-cloudy-night,Partly Cloudy,Weekday
47,2012-08-01 23:30:00,16.82,14.54,0.15393478300000002,0.86,1008.16,16.82,12.78,222,3.67,rain,partly-cloudy-night,Partly Cloudy,Weekday
48,2012-08-02 00:00:00,16.72,13.69,0.128652174,0.82,1008.18,16.72,12.05,223,3.06,rain,partly-cloudy-night,Mostly Cloudy,Weekday
49,2012-08-02 00:30:00,16.72,13.69,0.12489130400000001,0.82,1008.18,16.72,12.05,223,3.06,rain,partly-cloudy-night,Mostly Cloudy,Weekday
50,2012-08-02 01:00:00,16.31,13.72,0.114347826,0.85,1008.31,16.31,11.75,222,2.91,rain,partly-cloudy-night,Mostly Cloudy,Weekday
51,2012-08-02 01:30:00,16.31,13.72,0.1175,0.85,1008.31,16.31,11.75,222,2.91,rain,partly-cloudy-night,Mostly Cloudy,Weekday
52,2012-08-02 02:00:00,16.13,13.68,0.11623913,0.85,1008.43,16.13,11.78,215,2.9,rain,partly-cloudy-night,Partly Cloudy,Weekday
53,2012-08-02 02:30:00,16.13,13.68,0.10782608699999999,0.85,1008.43,16.13,11.78,215,2.9,rain,partly-cloudy-night,Partly Cloudy,Weekday
54,2012-08-02 03:00:00,15.76,13.7,0.091369565,0.88,1008.61,15.76,11.44,216,3.12,rain,partly-cloudy-night,Mostly Cloudy,Weekday
55,2012-08-02 03:30:00,15.76,13.7,0.090021739,0.88,1008.61,15.76,11.44,216,3.12,rain,partly-cloudy-night,Mostly Cloudy,Weekday
56,2012-08-02 04:00:00,15.68,13.66,0.090782609,0.88,1008.74,15.68,10.9,219,3.08,rain,partly-cloudy-night,Mostly Cloudy,Weekday
57,2012-08-02 04:30:00,15.68,13.66,0.11117391300000001,0.88,1008.74,15.68,10.9,219,3.08,rain,partly-cloudy-night,Mostly Cloudy,Weekday
58,2012-08-02 05:00:00,15.61,14.05,0.09780434800000001,0.9,1009.04,15.61,11.14,222,2.88,rain,partly-cloudy-day,Partly Cloudy,Weekday
59,2012-08-02 05:30:00,15.61,14.05,0.13130435,0.9,1009.04,15.61,11.14,222,2.88,rain,partly-cloudy-day,Partly Cloudy,Weekday
60,2012-08-02 06:00:00,15.72,13.52,0.19210869600000002,0.87,1009.55,15.72,11.97,235,3.95,rain,partly-cloudy-day,Partly Cloudy,Weekday
61,2012-08-02 06:30:00,15.72,13.52,0.138326087,0.87,1009.55,15.72,11.97,235,3.95,rain,partly-cloudy-day,Partly Cloudy,Weekday
62,2012-08-02 07:00:00,16.07,12.81,0.15069565199999999,0.81,1010.14,16.07,12.55,235,4.6,rain,partly-cloudy-day,Partly Cloudy,Weekday
63,2012-08-02 07:30:00,16.07,12.81,0.18865217399999998,0.81,1010.14,16.07,12.55,235,4.6,rain,partly-cloudy-day,Partly Cloudy,Weekday
64,2012-08-02 08:00:00,17.09,12.65,0.140717391,0.75,1010.53,17.09,13.07,237,4.99,rain,partly-cloudy-day,Partly Cloudy,Weekday
65,2012-08-02 08:30:00,17.09,12.65,0.222,0.75,1010.53,17.09,13.07,237,4.99,rain,partly-cloudy-day,Partly Cloudy,Weekday
66,2012-08-02 09:00:00,19.23,12.22,0.175543478,0.64,1010.82,19.23,13.07,228,5.07,rain,partly-cloudy-day,Partly Cloudy,Weekday
67,2012-08-02 09:30:00,19.23,12.22,0.186021739,0.64,1010.82,19.23,13.07,228,5.07,rain,partly-cloudy-day,Partly Cloudy,Weekday
68,2012-08-02 10:00:00,19.86,12.94,0.229782609,0.64,1010.92,19.86,13.41,225,5.48,rain,partly-cloudy-day,Partly Cloudy,Weekday
69,2012-08-02 10:30:00,19.86,12.94,0.18734782600000002,0.64,1010.92,19.86,13.41,225,5.48,rain,partly-cloudy-day,Partly Cloudy,Weekday
70,2012-08-02 11:00:00,20.28,13.5,0.14910869599999999,0.65,1011.05,20.28,12.52,214,5.11,rain,partly-cloudy-day,Partly Cloudy,Weekday
71,2012-08-02 11:30:00,20.28,13.5,0.19039130399999998,0.65,1011.05,20.28,12.52,214,5.11,rain,partly-cloudy-day,Partly Cloudy,Weekday
72,2012-08-02 12:00:00,19.92,13.86,0.21089130399999997,0.68,1010.95,19.92,12.67,206,5.43,rain,partly-cloudy-day,Partly Cloudy,Weekday
73,2012-08-02 12:30:00,19.92,13.86,0.19534782399999998,0.68,1010.95,19.92,12.67,206,5.43,rain,partly-cloudy-day,Partly Cloudy,Weekday
74,2012-08-02 13:00:00,20.86,13.08,0.211869565,0.61,1010.85,20.86,13.07,211,5.83,rain,partly-cloudy-day,Partly Cloudy,Weekday
75,2012-08-02 13:30:00,20.86,13.08,0.24643478300000002,0.61,1010.85,20.86,13.07,211,5.83,rain,partly-cloudy-day,Partly Cloudy,Weekday
76,2012-08-02 14:00:00,20.51,12.79,0.21230435,0.61,1010.97,20.51,12.86,218,6.85,rain,partly-cloudy-day,Partly Cloudy,Weekday
77,2012-08-02 14:30:00,20.51,12.79,0.21739130399999998,0.61,1010.97,20.51,12.86,218,6.85,rain,partly-cloudy-day,Partly Cloudy,Weekday
78,2012-08-02 15:00:00,21.29,12.72,0.17728260899999998,0.58,1011.01,21.29,13.07,211,6.97,rain,partly-cloudy-day,Partly Cloudy,Weekday
79,2012-08-02 15:30:00,21.29,12.72,0.172369565,0.58,1011.01,21.29,13.07,211,6.97,rain,partly-cloudy-day,Partly Cloudy,Weekday
80,2012-08-02 16:00:00,20.91,12.66,0.185521739,0.59,1010.99,20.91,13.07,214,6.75,rain,partly-cloudy-day,Partly Cloudy,Weekday
